Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-06-30,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,
2020-09-30,209.39300,14.83200,194.56100,181.78100,0.08700,181.69400,12.86700,2.75800,15.62500,3.76300,11.86200,,11.85300,11.69200,12.86700,12.86700,13.61910,13.83670,0.90000,0.80000,6.14490,6.14490,7.46200,5.58380,0.32310,4.32160,4.99390,1.82920,4.32160,20.12430,-1.4502,-1.0408
2019-12-31,226.80800,13.22980,213.57820,204.17090,-0.36010,204.53100,9.04720,0.98640,10.03360,6.52070,3.51290,,3.51490,4.50200,9.04720,9.04710,13.57710,13.58120,0.30000,0.30000,3.98890,3.98890,4.42380,1.98490,0.43240,1.39280,1.69980,0.67020,1.39280,18.58140,1.4502,1.0408
2019-09-30,185.39900,13.23700,172.16200,156.97700,0.59000,156.38700,15.77500,-0.73400,15.04100,3.77600,11.26500,,11.28000,11.15900,15.77500,15.77500,13.57650,13.57700,0.80000,0.80000,8.50870,8.50870,8.11280,6.01890,0.35810,4.60480,5.74160,2.17860,4.60480,18.04240,0,0
2019-06-30,169.96500,18.29300,151.67200,140.04000,0.34600,139.69400,11.97800,0.89800,12.87600,3.23200,9.64400,,9.63000,9.35200,11.97800,11.97800,13.57640,13.57700,0.70000,0.70000,7.04730,7.04730,7.57570,5.50230,0.35470,4.04040,5.14510,2.00960,4.04040,17.55580,0,0
2019-03-31,110.43300,23.53800,86.89500,105.97700,0.02200,105.95500,-19.06000,0.98000,-18.08000,-4.53900,-13.54100,,-13.55300,-13.49100,-19.06000,-19.06000,13.57640,13.57640,-1.00000,-1.00000,-17.25930,-17.25930,-16.37190,-12.21650,0.24700,-5.84370,-7.62680,-3.03080,-5.84380,17.08280,0.00000,
2018-12-31,124.24370,18.89480,105.34880,106.13590,0.00540,106.13050,-0.78170,2.29060,1.50890,-0.60230,2.11130,,2.10260,1.42150,-0.78170,-0.78170,13.57640,13.57640,0.10000,0.10000,-0.62910,-0.62910,1.21450,1.14410,0.29810,0.87040,1.14170,0.50460,0.87040,17.79310,0.1247,0.184
2018-09-30,133.58800,16.93500,116.65300,106.19500,0.85000,105.34500,11.30800,-3.61100,7.69700,0.36100,7.33600,,7.31700,6.84400,11.30800,11.30800,13.57640,13.57640,0.50000,0.50000,8.46480,8.46480,5.76170,5.12320,0.31470,3.03360,4.05240,1.72350,3.03360,17.76610,0,0
2018-06-30,122.67600,18.40500,104.27100,94.74900,0.47800,94.27100,10.00000,-4.93700,5.06300,6.02400,-0.96100,,-0.99300,-0.88400,10.00000,10.00000,13.57640,13.57640,-0.10000,-0.10000,8.15160,8.15160,4.12710,-0.72060,0.28640,-0.42070,-0.57690,-0.23180,-0.42070,17.38580,0,0
2018-03-31,81.52300,18.67500,62.84800,95.17800,0.83000,94.34800,-31.50000,3.12400,-28.37600,-7.11700,-21.25900,,-21.27800,-20.86200,-31.50000,-31.50000,13.57640,13.57640,-1.50000,-1.50000,-38.63940,-38.63940,-34.80740,-25.59030,0.19460,-8.90490,-12.38540,-5.07860,-8.90490,17.60080,0.00000,
2017-12-31,106.36810,19.61750,86.75050,112.29290,0.17090,112.12200,-25.37150,1.42900,-23.94250,-1.51030,-22.43220,,-22.46030,-22.30220,-25.37150,-25.37150,13.57080,13.57080,-1.70000,-1.70000,-23.85250,-23.85250,-22.50910,-20.96700,0.24230,-8.73810,-12.04910,-5.11690,-8.73810,18.93270,-9.1497,-9.3142
2017-09-30,95.16700,21.14400,74.02300,103.53100,0.15900,103.37200,-29.34900,0.09500,-29.25400,-5.89300,-23.36100,,-23.41700,-23.12300,-29.34900,-29.34900,13.57640,13.57640,-1.70000,-1.70000,-30.83950,-30.83950,-30.73970,-24.29730,0.20430,-8.49140,-11.60880,-5.02760,-8.49140,20.31260,0,0
2017-06-30,92.68900,19.16300,73.52600,117.93100,-38.55200,156.48300,-82.95700,-0.14100,-83.09800,4.36800,-87.46600,,-87.52200,-87.30300,-82.95700,-82.95700,13.57640,13.57640,-6.40000,-6.40000,-89.50040,-89.50040,-89.65250,-94.18920,0.20320,-29.48270,-39.89210,-19.18390,-29.48270,21.86580,0,0
2017-03-31,68.30800,14.13000,54.17800,100.52100,0.07100,100.45000,-46.27200,0.41100,-45.86100,-17.29300,-28.56800,,-28.64400,-28.17300,-46.27200,-46.27200,13.55420,13.55420,-2.10000,-2.10000,-67.74020,-67.74020,-67.13860,-41.24410,0.13260,-7.53040,-10.76930,-5.56050,-7.53040,28.01770,0.00000,
2016-12-31,104.89810,14.02640,90.87170,131.41800,2.31270,129.10530,-38.23350,0.44750,-37.78610,-11.40970,-26.37630,,-26.38510,-25.45180,-38.23350,-38.23350,13.52200,13.52200,-1.90000,-1.90000,-36.44830,-36.44830,-36.02170,-24.26340,0.18220,-6.49300,-9.13080,-4.58180,-6.49300,29.98870,2.5964,2.2868
2016-09-30,183.30200,15.22900,168.07300,142.76900,1.46400,141.30500,26.76800,0.43600,27.20400,9.92300,17.28100,,17.20100,17.09900,26.76800,26.76800,13.52780,13.54300,1.30000,1.30000,14.60320,14.60320,14.84110,9.32830,0.28450,3.89890,5.37150,2.66990,3.89890,32.61130,0,0
2016-06-30,158.32300,14.63900,143.68400,134.29800,0.70800,133.59000,10.09400,0.84900,10.94300,2.22300,8.72000,,8.64400,9.52800,10.09400,10.09400,13.52590,13.53670,0.70000,0.70000,6.37560,6.37560,6.91180,6.01810,0.25930,2.04300,2.89090,1.41570,2.04300,31.28430,0,0
2016-03-31,112.98800,13.59700,99.39100,113.31200,0.10200,113.21000,-13.81900,0.01400,-13.80500,-2.80400,-11.00100,,-11.06100,-10.96400,-13.81900,-13.81900,13.49760,13.49760,-0.80000,-0.80000,-12.23050,-12.23050,-12.21810,-9.70370,0.18860,-2.65610,-3.82840,-1.84650,-2.65610,30.79100,0.00000,
2015-12-31,173.36100,14.48270,158.87820,144.19850,0.67500,143.52360,15.35470,0.57750,15.93220,3.12030,12.81190,,12.81390,12.76410,15.35470,15.35470,13.45290,13.62240,0.90000,0.90000,8.85710,8.85710,9.19020,7.36270,0.27660,3.02050,4.36310,2.04420,3.02050,31.44080,3.764,2.6827
2015-09-30,151.20600,15.30500,135.90100,117.51100,2.38200,115.12900,20.77200,0.36700,21.13900,5.24400,15.89500,,15.82000,16.04300,20.77200,20.77200,13.46640,13.53090,1.20000,1.20000,13.73750,13.73750,13.98030,10.61000,0.24510,3.82860,5.74390,2.56450,3.82860,,0,0
2015-06-30,157.80600,15.66200,142.14400,127.45700,0.28700,127.17000,14.97400,0.21600,15.19000,3.48400,11.70600,,11.62900,11.84600,14.97400,14.97400,13.45750,13.69960,0.90000,0.90000,9.48890,9.48890,9.62570,7.50670,0.25810,2.90060,4.55630,1.90220,2.90060,,0,0
2015-03-31,93.43100,14.86400,78.56700,86.27900,0.22400,86.05500,-7.48800,0.56800,-6.92000,-1.54100,-5.37900,,-5.45700,-5.32300,-7.48800,-7.48800,13.41080,13.41080,-0.40000,-0.40000,-8.01450,-8.01450,-7.40650,-5.69730,0.14890,-1.41320,-2.33900,-0.86970,-1.41320,,0.00000,
2014-12-31,171.84500,14.35000,157.49500,127.09000,0.00000,127.09000,30.40500,-0.83000,29.57000,6.59000,22.98000,-0.08000,23.22500,23.22500,56.57500,30.40500,13.36300,13.75100,1.70000,1.70000,17.69330,17.69330,17.20740,13.51510,0.26920,5.59740,8.63570,3.63880,5.59740,30.96080,9.0779,9.0779
2014-09-30,128.27400,12.92900,115.34500,84.56200,0.76100,83.80100,31.54400,0.35700,31.90100,5.50200,26.39900,,26.35300,25.68300,31.54400,31.54400,13.35290,13.75960,1.90000,1.90000,24.59110,24.59110,24.86940,20.02200,0.21770,6.84580,11.27690,4.47230,6.84580,,0,0
2014-06-30,117.36300,11.72000,105.64300,88.48000,,88.48000,17.16300,1.64000,18.80000,3.10000,15.70000,-0.06000,15.37100,15.37100,17.16300,17.16300,13.01300,13.30300,1.20000,1.20000,14.62390,14.62390,16.01870,13.09700,0.21520,4.08910,7.01070,2.81890,4.08910,,0,0
2014-03-31,78.54100,12.13000,66.41100,64.44000,,64.44000,1.97100,0.19000,2.15000,0.35000,1.80000,-0.04000,2.24200,2.24200,1.97100,1.97100,12.00000,12.18800,0.20000,0.20000,2.50950,2.50950,2.73740,2.85460,0.19920,0.94200,2.95120,0.56860,0.94200,,0.00000,
2013-12-31,126.35200,,126.35200,,,,126.35200,,126.35200,,126.35200,,24.72300,24.72300,126.35200,126.35200,12.00000,12.00000,2.10000,2.10000,100.00000,100.00000,100.00000,19.56680,0.31360,9.81940,29.91290,6.13570,9.81890,20.98250,6.9517,5.5842
2013-09-30,97.39400,,97.39400,,,,97.39400,,97.39400,,97.39400,,21.92000,21.92000,97.39400,97.39400,12.00000,12.00000,1.80000,1.80000,100.00000,100.00000,100.00000,22.50650,,,,,,,0,0
2013-06-30,71.85200,,71.85200,,,,71.85200,,71.85200,,71.85200,,5.69500,5.69500,71.85200,71.85200,12.00000,12.00000,0.50000,0.50000,100.00000,100.00000,100.00000,7.92600,,,,,,,0,0
2013-03-31,39.82400,,39.82400,,,,39.82400,,39.82400,,39.82400,,-9.81300,-9.81300,39.82400,39.82400,12.00000,12.00000,-0.80000,-0.80000,100.00000,100.00000,100.00000,-24.64090,,,,,,,0.00000,
2012-12-31,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,0,0
