Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-11-30,21.65750,17.83940,3.81810,3.18510,3.18510,0.63300,0.03470,0.66760,0.18100,0.48660,0.48660,0.46000,0.68770,0.63300,2.14400,2.25000,0.21000,0.20000,3.31710,,17.62930,2.92260,2.92260,3.08270,2.12390,0.89260,1.95150,46.11720,2.80330,3.17690,2.00560,2.80330,8.09670,0.5064,0.5064
2023-08-31,22.51330,18.48660,4.02670,3.25180,3.25170,0.77500,-0.00030,0.77470,0.20300,0.57170,0.57170,0.54680,0.83470,0.77500,2.14400,2.24700,0.26000,0.24000,3.17190,,17.88590,3.44220,3.44220,3.44090,2.42870,0.94890,1.86580,48.23620,3.39330,3.87070,2.40950,3.39330,7.85780,0.25220,0.25220
2023-05-31,24.94570,20.51340,4.43220,3.71760,3.71760,0.71460,-0.00250,0.71210,0.20200,0.51010,0.51010,0.49380,0.77440,0.71460,2.14100,2.23800,0.23000,0.22000,3.00590,,17.76750,2.86470,2.86470,2.85450,1.97970,1.06840,2.05130,43.87480,3.13890,3.60970,2.18460,3.13890,7.57920,-0.2871,-0.2871
2023-02-28,24.25720,20.26730,3.98980,3.76890,3.76890,0.22090,-0.01320,0.20770,0.11000,0.09770,0.09770,0.07960,0.28060,0.22090,2.13500,2.23500,0.04000,0.04000,2.67150,,16.44810,0.91080,0.91080,0.85640,0.32830,1.01860,2.08800,43.10370,0.62010,0.71870,0.41040,0.62010,7.33810,0.227,0.2258
2022-11-30,26.03080,21.39960,4.63120,3.62520,3.62520,1.00600,-0.01820,0.98790,0.30100,0.68690,0.68690,0.67380,1.06700,1.00600,2.14000,2.23200,0.31000,0.30000,2.49730,,17.79130,3.86480,3.86480,3.79510,2.58860,1.05660,2.05990,43.69120,4.36140,5.07050,2.78820,4.36140,7.38710,0.2526,0.2518
2022-08-31,26.19940,21.76690,4.43250,3.67760,3.67760,0.75490,-0.02920,0.72570,0.21800,0.50770,0.50770,0.49470,0.81720,0.75490,2.14600,2.23700,0.23000,0.22000,2.30800,,16.91840,2.88140,2.88140,2.77010,1.88840,1.06770,2.05590,43.77590,3.36040,3.94650,2.06920,3.36040,7.04080,0.59130,0.59050
2022-05-31,26.19970,21.85310,4.34660,3.99110,3.99110,0.35550,-0.02340,0.33200,0.00000,0.33200,0.33200,0.33130,0.42030,0.35550,2.02400,2.09800,0.06000,0.02000,2.16970,0.00430,16.59020,1.35670,1.35670,1.26720,1.26430,1.07580,1.94540,46.26240,2.28460,2.71120,1.36330,2.28460,6.77190,0.12,0.1186
2022-02-28,24.38320,20.59020,3.79310,3.82980,3.82980,-0.03680,-0.02070,-0.05750,-0.01400,-0.04350,-0.04350,-0.04660,0.02290,-0.03680,2.02700,2.02700,-0.02000,-0.02000,2.22510,0.00420,15.55600,-0.15070,-0.15070,-0.23570,-0.19120,1.03700,1.95740,45.97960,-0.30430,-0.36360,-0.18490,-0.30430,6.65840,-0.7516,-0.7546
2021-11-30,23.86360,19.81550,4.04800,3.63320,3.63320,0.41490,-0.03200,0.38280,0.12800,0.25480,0.25480,0.24300,0.47020,0.41490,1.96200,2.03300,0.12000,0.12000,1.99550,0.00350,16.96320,1.73840,1.73840,1.60420,1.01840,1.09580,2.20800,40.76130,2.04480,2.52550,1.17010,2.04480,6.35170,-0.6284,-0.6514
2021-08-31,22.86600,19.05560,3.81040,4.16530,4.16530,-0.35490,6.69900,6.34400,-0.11500,6.45900,6.45900,6.40150,-0.29960,-0.35490,1.96200,2.01500,3.26000,3.18000,1.82480,0.00290,16.66400,-1.55220,-1.55220,27.74440,27.99590,1.00990,2.23200,40.32330,53.57710,66.99760,28.52630,53.57710,6.14450,0.16020,0.14630
2021-05-31,21.07820,17.66930,3.40890,3.39450,3.39450,0.01430,-0.04110,-0.02670,0.00500,-0.03170,-0.03170,-0.04630,0.07730,0.01430,1.96200,1.96200,-0.02000,-0.02000,2.05010,0.01710,16.17250,0.06800,0.06800,-0.12680,-0.21960,0.96560,2.17450,41.38850,-0.58540,-1.07080,-0.14540,-0.58540,2.76300,0.4043,0.3571
2021-02-28,17.16050,14.41460,2.74590,3.08450,3.08450,-0.33860,-0.04140,-0.38000,-0.07900,-0.30100,-0.30100,-0.30490,-0.29100,-0.33860,1.96200,1.96200,-0.16000,-0.16000,2.14180,0.00520,16.00120,-1.97320,-1.97320,-2.21420,-1.77690,0.81690,1.92760,46.69120,-5.67440,-10.73520,-1.43280,-5.67440,2.70330,-0.2427,-0.2481
2020-11-30,16.06860,13.23350,2.83510,3.05860,3.05860,-0.22350,-0.05380,-0.27730,-0.03000,-0.24730,-0.24730,-0.24680,-0.17840,-0.22350,1.96200,1.96200,-0.13000,-0.13000,2.30400,0.01800,17.64370,-1.39110,-1.39110,-1.72580,-1.53570,0.79970,1.99930,45.01500,-4.45940,-8.23640,-1.23080,-4.45940,2.82660,-0.2705,-0.2781
2020-08-31,14.51400,12.18290,2.33110,2.27130,2.27130,0.05980,-0.06190,-0.00210,-0.00500,0.00290,0.00290,-0.00300,0.06220,0.05980,1.96200,1.96200,0.00000,0.00000,2.91190,0.01100,16.06090,0.41190,0.41190,-0.01430,-0.02070,0.74740,2.19740,40.95840,0.05050,0.05050,0.01510,0.05050,2.95270,0.77340,0.76940
2020-05-31,14.79640,12.36380,2.43260,2.08290,2.08290,0.34970,-0.03520,0.31450,-0.12100,0.43550,0.43550,0.42020,0.35290,0.34970,1.96200,1.96200,0.22000,0.22000,3.26390,0.08650,16.44080,2.36350,2.36350,2.12570,2.83970,0.78390,2.09510,42.95780,7.52180,7.52180,2.30740,7.52180,2.95120,0.0238,0.0187
2020-02-29,14.14460,12.12450,2.02010,3.27070,3.27070,-1.25070,-0.04330,-1.29400,-0.35200,-0.94200,-0.94200,-0.94510,-1.24910,-1.25070,1.96200,1.96200,-0.48000,-0.48000,1.78390,0.17560,14.28150,-8.84200,-8.84200,-9.14830,-6.68170,1.14600,2.07190,43.43810,-17.59200,-17.59200,-7.63210,-17.59200,2.72920,-0.1935,-0.1993
2019-11-30,15.23390,12.78410,2.44980,2.38550,2.38550,0.06430,0.01150,0.07580,0.00800,0.06780,0.06780,0.06150,0.06580,0.06430,1.96200,1.96200,0.03000,0.03000,1.97780,,16.08120,0.42180,0.42180,0.49730,0.40380,1.28820,2.15270,41.80800,1.07310,1.07310,0.57300,1.07310,3.21840,-0.0533,-0.0533
2019-08-31,14.94660,12.67110,2.27550,3.18950,3.18940,-0.91400,0.00760,-0.90630,-0.24700,-0.65930,-0.65930,-0.66300,-0.91250,-0.91400,1.96200,1.96200,-0.34000,-0.34000,1.90840,,15.22430,-6.11480,-6.11480,-6.06390,-4.43590,1.23440,2.03210,44.28820,-10.53650,-10.53650,-5.44530,-10.53650,3.18940,-0.57570,-0.57570
2019-05-31,15.57400,13.23460,2.33940,3.22350,3.22350,-0.88400,0.00050,-0.88350,-0.29100,-0.59250,-0.59250,-0.60080,-0.88170,-0.88400,1.96200,1.96200,-0.31000,-0.31000,2.10820,,15.02120,-5.67640,-5.67640,-5.67310,-3.85780,1.24250,2.09080,43.04610,-8.56630,-8.56630,-4.72740,-8.56630,3.52550,-0.2126,-0.2126
2019-02-28,14.78270,12.65160,2.13110,3.04670,3.04670,-0.91560,0.00510,-0.91050,-0.23500,-0.67550,-0.67550,-0.67620,-0.91410,-0.91560,1.96200,1.96200,-0.34000,-0.34000,2.51200,,14.41640,-6.19370,-6.19370,-6.15900,-4.57450,1.21030,2.12490,42.35470,-8.99470,-8.99470,-5.53020,-8.99470,3.82750,-0.2247,-0.2206
2018-11-30,16.40240,13.64390,2.75850,2.88220,2.88220,-0.12370,0.00570,-0.11810,-0.03100,-0.08710,-0.08710,-0.09670,-0.11990,-0.12370,1.96200,1.96200,-0.05000,-0.05000,2.52250,,16.81760,-0.75450,-0.75450,-0.72000,-0.58980,1.21770,2.05250,43.84900,-1.06350,-1.06350,-0.64660,-1.06350,4.17410,-0.2021,-0.2027
2018-08-31,16.58090,13.98460,2.59640,2.52050,2.52050,0.07580,-0.00080,0.07500,0.01900,0.05600,0.05600,0.03780,0.07970,0.07580,1.96200,1.96200,0.02000,0.02000,2.53660,,15.65880,0.45730,0.45730,0.45250,0.22790,1.22180,2.12880,42.27740,0.67670,0.67670,0.41290,0.67670,4.22080,-0.16770,-0.16770
2018-05-31,16.37960,13.84910,2.53050,2.29190,2.29190,0.23860,0.00890,0.24750,0.09800,0.14950,0.14950,0.13690,0.23860,0.23860,1.96200,1.96200,0.07000,0.07000,2.58970,,15.44900,1.45670,1.45670,1.51100,0.83570,1.22490,2.26550,39.72580,1.80800,1.80800,1.11800,1.80800,4.21450,0.5071,0.5066
2018-02-28,15.05770,12.77160,2.28610,2.32370,2.32370,-0.03770,0.00660,-0.03100,-0.02300,-0.00800,-0.00800,-0.01880,-0.03170,-0.03770,1.96200,1.96200,-0.01000,-0.01000,2.91450,,15.18230,-0.25010,-0.25010,-0.20620,-0.12520,1.22600,2.12910,42.27100,-0.09900,-0.09900,-0.06550,-0.09900,4.13990,0.0432,0.0426
2017-11-30,16.51560,13.79580,2.71980,2.28790,2.28790,0.43190,0.01030,0.44220,0.18800,0.25420,0.25420,0.22710,0.43620,0.43190,1.96200,1.96200,0.12000,0.12000,2.73440,,16.46840,2.61540,2.61540,2.67760,1.37500,1.29390,2.16790,41.51500,3.11330,3.11330,1.99160,3.11330,4.16170,-0.2559,-0.2657
2017-08-31,17.03710,14.19260,2.84450,2.56800,2.56800,0.27650,0.00190,0.27840,0.11800,0.16040,0.16040,0.14110,0.28070,0.27650,1.96200,1.96200,0.07000,0.07000,2.49040,,16.69580,1.62290,1.62290,1.63380,0.82810,1.29980,2.27510,39.55840,2.02590,2.02590,1.22350,2.02590,4.03440,0.28190,0.28190
2017-05-31,16.89720,14.24460,2.65260,2.50200,2.50200,0.15060,0.00270,0.15330,0.07500,0.07830,0.07830,0.06250,0.15620,0.15060,1.96200,1.96200,0.03000,0.03000,2.13480,,15.69840,0.89120,0.89120,0.90750,0.36990,1.16250,2.30120,39.10990,1.00960,1.00960,0.53900,1.00960,3.95490,0.2879,0.2846
2017-02-28,15.39020,12.98830,2.40200,2.52120,2.52120,-0.11920,0.00380,-0.11540,-0.05800,-0.05740,-0.05740,-0.06840,-0.11560,-0.11920,1.96200,1.96200,-0.03000,-0.03000,3.45460,,15.60700,-0.77470,-0.77470,-0.74970,-0.44440,1.13710,2.27870,39.49650,-0.59490,-0.59490,-0.42390,-0.59490,4.91650,-0.0198,-0.0218
2016-11-30,15.04280,12.45280,2.59000,2.34470,2.34460,0.24540,0.00170,0.24710,0.11000,0.13710,0.13710,0.12630,0.25070,0.24540,1.96200,1.96200,0.06000,0.06000,3.32600,,17.21780,1.63110,1.63110,1.64260,0.83970,1.08760,2.12280,42.39640,1.41210,1.41210,0.99110,1.41210,4.94810,0.1,0.0988
2016-08-31,15.24240,12.64090,2.60150,2.31570,2.31570,0.28570,0.00620,0.29190,0.13600,0.15590,0.15590,0.14780,0.29110,0.28570,1.96200,1.96200,0.08000,0.08000,3.03990,,17.06740,1.87470,1.87470,1.91520,0.96950,1.06560,1.94560,46.25820,1.62030,1.62030,1.09010,1.62030,4.90460,0.01440,0.01440
2016-05-31,15.50370,12.87430,2.62940,2.32860,2.32860,0.30080,0.00420,0.30500,0.11900,0.18600,0.18600,0.16910,0.30660,0.30080,1.96200,1.96200,0.08000,0.08000,3.03340,,16.95970,1.93990,1.93990,1.96720,1.09050,1.10040,2.00970,44.78350,1.96360,1.96360,1.32000,1.96360,4.82750,0.4605,0.459
2016-02-29,15.07480,12.77000,2.30480,2.31860,2.31860,-0.01380,-0.00190,-0.01570,-0.00700,-0.00870,-0.00870,-0.02360,-0.00800,-0.01380,1.96200,1.96200,-0.01000,-0.01000,2.92120,,15.28920,-0.09140,-0.09140,-0.10400,-0.15690,1.07110,1.76090,51.11070,-0.09350,-0.09350,-0.06170,-0.09350,4.73270,-0.5033,-0.5039
2015-11-30,15.18500,12.67940,2.50560,2.24170,2.24170,0.26390,0.00690,0.27080,0.13700,0.13380,0.13380,0.12010,0.26950,0.26390,1.96200,1.96200,0.06000,0.06000,2.91630,,16.50060,1.73800,1.73800,1.78350,0.79070,1.06830,1.99980,45.00470,1.42760,1.42760,0.94150,1.42760,4.77780,0.7086,0.7077
2015-08-31,15.23480,12.71520,2.51960,2.23160,2.23160,0.28800,-0.00290,0.28510,0.14000,0.14510,0.14510,0.13370,0.29350,0.28800,1.96200,1.96200,0.07000,0.07000,2.77310,,16.53840,1.89020,1.89020,1.87120,0.87790,1.05790,1.65410,54.41180,1.56860,1.56860,1.00740,1.56860,4.71360,-0.04000,-0.04300
2015-05-31,14.97010,12.53960,2.43050,2.24770,2.24760,0.18280,0.00270,0.18550,0.04700,0.13850,0.13850,0.11200,0.19000,0.18280,1.96200,1.96200,0.06000,0.06000,2.81600,,16.23580,1.22130,1.22130,1.23920,0.74780,1.06540,1.70900,52.66330,1.52160,1.52160,0.98580,1.52160,4.63960,0.5101,0.5043
2015-02-28,14.21320,12.08180,2.13140,2.22920,2.22920,-0.09780,-0.00170,-0.09950,-0.03900,-0.06050,-0.06050,-0.08480,-0.09410,-0.09780,1.96200,1.96200,-0.04000,-0.04000,2.85760,,14.99620,-0.68810,-0.68810,-0.70000,-0.59670,1.03580,1.51840,59.27320,-0.67410,-0.67410,-0.44080,-0.67410,4.57360,-0.4938,-0.4961
2014-11-30,14.53380,12.07950,2.45430,2.17970,2.17960,0.27470,0.00310,0.27780,0.11000,0.16780,0.16780,0.14100,0.27930,0.27470,1.96200,1.96200,0.07000,0.07000,2.89690,,16.88720,1.88990,1.88990,1.91120,0.97000,1.04600,1.70800,52.69220,1.83740,1.83740,1.20740,1.83740,4.65370,-0.3539,-0.355
2014-08-31,13.68580,11.38660,2.29920,2.22640,2.22650,0.07280,0.00770,0.08050,0.03400,0.04650,0.04650,0.02460,0.07760,0.07280,1.96200,1.96200,0.01000,0.01000,2.77050,,16.79970,0.53170,0.53170,0.58820,0.17970,0.98320,1.74660,51.52760,0.51870,0.51870,0.33410,0.51870,4.56920,0.70130,0.69760
2014-05-31,13.14900,10.96350,2.18550,2.11550,2.11550,0.07000,0.00370,0.07370,0.08300,-0.00930,-0.00930,-0.03840,0.07300,0.07000,1.96200,1.96200,-0.02000,-0.02000,2.87540,,16.62120,0.53230,0.53230,0.56050,-0.29230,0.96950,1.49430,60.23050,-0.10430,-0.10430,-0.06860,-0.10430,4.54640,0.0944,0.0936
2014-02-28,12.12780,10.19860,1.92920,2.11820,2.11810,-0.18900,0.00220,-0.18680,-0.12200,-0.06480,-0.06480,-0.09060,-0.18300,-0.18900,1.96200,1.96200,-0.05000,-0.05000,2.91660,,15.90720,-1.55830,-1.55830,-1.53990,-0.74730,0.90000,1.37740,65.34090,-0.72520,-0.72520,-0.48060,-0.72520,4.55120,0.3339,0.3198
2013-11-30,12.16640,10.10080,2.06570,1.97990,1.97990,0.08570,0.00290,0.08870,0.03600,0.05270,0.05270,0.03220,0.08910,0.08570,1.96200,1.96200,0.02000,0.02000,3.11690,,16.97860,0.70480,0.70480,0.72880,0.26470,0.92230,1.34080,67.12410,0.58420,0.58420,0.39920,0.58420,4.59430,-0.0517,-0.0518
2013-08-31,12.08670,9.98880,2.09780,2.03940,2.03950,0.05840,-0.00010,0.05830,0.02000,0.03830,0.03830,0.01090,0.06180,0.05840,1.96200,1.96200,0.01000,0.01000,2.88030,,17.35670,0.48330,0.48330,0.48220,0.09030,0.89570,1.30810,68.80050,0.42710,0.42710,0.28370,0.42710,4.56900,-0.10950,-0.11140
2013-05-31,12.54990,10.43020,2.11970,2.08640,2.08640,0.03330,0.00520,0.03840,0.01800,0.02040,0.02040,0.01070,0.03650,0.03330,1.97140,1.97140,0.01000,0.01000,2.85880,,16.89000,0.26500,0.26500,0.30610,0.08500,0.92150,1.37140,65.62760,0.22860,0.22860,0.14990,0.22860,4.55110,-0.3018,-0.3028
2013-02-28,10.51510,8.87450,1.64060,2.01770,2.01770,-0.37720,0.00670,-0.37040,-0.11600,-0.25440,-0.25440,-0.25490,-0.37360,-0.37720,1.96200,1.96200,-0.13000,-0.13000,3.07140,,15.60220,-3.58690,-3.58690,-3.52280,-2.42400,0.79900,1.30610,68.90850,-2.85480,-2.85480,-1.93330,-2.85480,4.54240,0.0233,0.0201
2012-11-30,10.56030,8.80530,1.75500,2.01370,2.01370,-0.25870,-0.00160,-0.26030,-0.07900,-0.18130,-0.18130,-0.18250,-0.25600,-0.25870,1.98000,1.98000,-0.09000,-0.09000,3.02230,,16.61900,-2.44990,-2.44990,-2.46470,-1.72790,0.76520,1.20940,74.41890,-1.95550,-1.95550,-1.31360,-1.95550,4.68210,-0.3419,-0.3419
2012-08-31,11.28850,9.43870,1.84970,1.96280,1.96290,-0.11310,0.00230,-0.11090,-0.03700,-0.07390,-0.07390,-0.09340,-0.11040,-0.11310,1.98100,1.98100,-0.05000,-0.05000,3.56310,,16.38580,-1.00210,-1.00210,-0.98220,-0.82770,0.65520,1.31380,68.50390,-0.59450,-0.59450,-0.42880,-0.59450,6.27540,0.09510,0.09510
2012-05-31,11.63460,9.69230,1.94220,1.98880,1.98890,-0.04660,0.00160,-0.04510,-0.01300,-0.03210,-0.03210,-0.04830,-0.04380,-0.04660,1.99900,1.99900,-0.02000,-0.02000,3.66980,,16.69340,-0.40090,-0.40090,-0.38750,-0.41510,0.67780,1.33250,67.54260,-0.25630,-0.25630,-0.18690,-0.25630,6.31120,0.1879,0.1866
2012-02-29,11.09280,9.37160,1.72120,1.86080,1.86080,-0.13960,0.00440,-0.13510,-0.05300,-0.08210,-0.08210,-0.09280,-0.13710,-0.13960,1.99000,1.99000,-0.05000,-0.05000,3.79860,,15.51630,-1.25820,-1.25820,-1.21810,-0.83640,0.65230,1.24330,72.38970,-0.65380,-0.65380,-0.48290,-0.65380,6.32800,-0.032,-0.0331
2011-11-30,11.11500,9.22450,1.89050,1.81460,1.81470,0.07590,0.00700,0.08280,0.04400,0.03880,0.03880,0.03170,0.07850,0.07590,2.00400,2.00400,0.02000,0.02000,3.78240,,17.00830,0.68240,0.68240,0.74520,0.28520,0.64310,1.21750,73.91960,0.30460,0.30460,0.22460,0.30460,6.39220,-0.2264,-0.2284
2011-08-31,11.37310,9.46260,1.91050,1.80230,1.80230,0.10820,0.00190,0.11000,0.04700,0.06300,0.06300,0.04720,0.11050,0.10820,2.01900,2.01900,0.02000,0.02000,3.76700,,16.79810,0.95120,0.95120,0.96760,0.41490,0.65360,1.30470,68.98240,0.49200,0.49200,0.36230,0.49200,6.34590,0.25000,0.24690
2011-05-31,10.84430,8.89800,1.94630,1.74330,1.74340,0.20290,0.00480,0.20770,0.10200,0.10570,0.10570,0.09190,0.20640,0.20290,2.02000,2.02000,0.05000,0.05000,3.82450,,17.94730,1.87130,1.87130,1.91570,0.84780,0.63260,1.21480,74.08650,0.82910,0.82910,0.61690,0.82910,6.31760,0.289,0.2849
2011-02-28,9.37720,7.74330,1.63390,1.71700,1.71700,-0.08310,0.00500,-0.07820,-0.01700,-0.06120,-0.06120,-0.06680,-0.08120,-0.08310,2.01900,2.01900,-0.03000,-0.03000,4.64930,,17.42420,-0.88660,-0.88660,-0.83370,-0.71260,0.58550,1.10590,81.38510,-0.48360,-0.48360,-0.38190,-0.48360,6.26520,-0.0614,-0.0636
2010-11-30,9.75700,7.85390,1.90300,1.61160,1.61170,0.29140,0.00830,0.29970,0.12400,0.17570,0.17570,0.15040,0.29290,0.29140,2.01900,2.01900,0.07000,0.07000,4.85490,,19.50440,2.98660,2.98660,3.07120,1.54160,0.60860,1.16180,77.46500,1.37740,1.37740,1.09560,1.37740,6.31650,-0.6546,-0.6546
2010-08-31,9.36390,7.65650,1.70740,1.63650,1.63650,0.07090,0.00280,0.07370,0.03300,0.04070,0.04070,0.02160,0.07240,0.07090,2.02100,2.02100,0.01000,0.01000,4.65780,,18.23390,0.75710,0.75710,0.78680,0.23030,0.58560,1.34870,66.73230,0.32330,0.32330,0.25440,0.32330,6.23130,0.01810,0.01690
2010-05-31,9.56250,7.90400,1.65850,1.62910,1.62910,0.02940,0.00590,0.03540,0.01700,0.01840,0.01840,0.00610,0.03100,0.02940,2.02500,2.02500,-0.01000,-0.01000,4.91110,,17.34420,0.30770,0.30770,0.36980,0.06430,0.60700,1.46850,61.28640,0.14610,0.14610,0.11660,0.14610,6.20720,0.3482,0.3482
2010-02-28,8.96080,7.41930,1.54150,1.54390,1.54390,-0.00240,0.00730,0.00490,0.00800,-0.00310,-0.00310,-0.00570,-0.00120,-0.00240,2.02500,2.02500,0.00000,0.00000,5.26100,,17.20300,-0.02700,-0.02700,0.05440,-0.06400,0.57890,1.29070,69.73230,-0.02490,-0.02490,-0.02020,-0.02490,6.20220,0.1668,0.1668
2009-11-30,9.34030,7.65450,1.68590,1.51600,1.51600,0.16990,0.01330,0.18320,0.08200,0.10120,0.10120,0.07970,0.17440,0.16990,2.02500,2.02500,0.04000,0.04000,5.38190,,18.04940,1.81870,1.81870,1.96090,0.85320,0.60480,1.29410,69.54630,0.80310,0.80310,0.65500,0.80310,6.22030,-0.2697,-0.2696
2009-08-31,9.09230,7.44650,1.64580,1.52600,1.52600,0.11980,0.02200,0.14170,0.05900,0.08270,0.08270,0.06340,0.12430,0.11980,2.02500,2.02500,0.04000,0.04000,5.02900,,18.10100,1.31720,1.31720,1.55880,0.69710,0.58420,1.34200,67.06200,0.66220,0.66220,0.53160,0.66220,6.17030,-0.10270,-0.10390
2009-05-31,9.36460,7.66510,1.69950,1.55320,1.55330,0.14620,0.01980,0.16600,0.06300,0.10300,0.10300,0.09290,0.15060,0.14620,2.11800,2.11800,0.06000,0.06000,5.13840,,18.14770,1.56150,1.56150,1.77260,0.99250,0.60860,1.47100,61.18110,0.82940,0.82940,0.66930,0.82940,6.13240,0.1051,0.1029
2009-02-28,9.75080,7.95780,1.79300,1.63630,1.63620,0.15670,0.02900,0.18570,0.08000,0.10570,0.10570,0.09320,0.16140,0.15670,2.02500,2.02500,0.04000,0.04000,4.96410,,18.38830,1.60730,1.60730,1.90450,0.95630,0.63320,1.46090,61.60440,0.85880,0.85880,0.68640,0.85880,6.07780,0.6637,0.6589
